"Päivitetty","Osio","Kategoria","Nimi","URL","Lähde","Tarkistus","HTTP","Turvallisuus","Lopullinen URL","Alkuperäinen domain","Lopullinen domain","Domain vaihtui","RDAP-signaali","Sisältösignaali","Sivun otsikko","Riskipisteet","Suositus","Manuaalinen tila","Luottamustaso","Huomiot"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-19","localKelaTaxiNumbers.ts","virhe","","ok","","kela.fi","kela.fi","ei","Elisa Oyj","ei tarkistettu","","80","piilota","","","Tarkistus aikakatkaistiin; HTTP-tarkistus epäonnistui"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-20","localKelaTaxiNumbers.ts","virhe","","ok","","kela.fi","kela.fi","ei","Elisa Oyj","ei tarkistettu","","80","piilota","","","Tarkistus aikakatkaistiin; HTTP-tarkistus epäonnistui"
"13.8.2026 klo 14.46","Alueelliset uutislähteet","Alueelliset uutiset","Aamulehti","https://www.aamulehti.fi/","localServices.ts","ok","200","ok","https://www.aamulehti.fi/","aamulehti.fi","aamulehti.fi","ei","Sanoma Media Finland Oy","huomio","Tampereen ja Pirkanmaan tärkeimmät uutiset, parhaat live-lähetykset, mielenkiintoisimmat ilmiöt ja ihmiset. Lue ja katso!","35","tarkista","","","HTML-sivulta ei löytynyt otsikkoa; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset uutislähteet","Alueelliset uutiset","Salon Seudun Sanomat","https://www.sss.fi/","localServices.ts","ok","200","ok","https://www.sss.fi/","sss.fi","sss.fi","ei","RDAP 429","huomio","Etusivu - SSS.fi","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 06","https://sata.fi/","localServices.ts","ok","200","ok","https://satakunnanhyvinvointialue.fi/","sata.fi","satakunnanhyvinvointialue.fi","kyllä","RDAP 429","ok","Satakunnanhyvinvointialue","50","piilota","","","Domain vaihtui: sata.fi -> satakunnanhyvinvointialue.fi"
"13.8.2026 klo 14.46","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 06","https://sata.fi/ajankohtaista/","localServices.ts","ok","200","ok","https://satakunnanhyvinvointialue.fi/ajankohtaista/","sata.fi","satakunnanhyvinvointialue.fi","kyllä","RDAP 429","ok","Ajankohtaista - Satakunnanhyvinvointialue","50","piilota","","","Domain vaihtui: sata.fi -> satakunnanhyvinvointialue.fi"
"13.8.2026 klo 14.46","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 08","https://www.pirha.fi/ajankohtaista/pirha-nyt","localServices.ts","ok","200","ok","https://www.pirha.fi/ajankohtaista/pirha-nyt","pirha.fi","pirha.fi","ei","Istekki Oy","huomio","Pirha nyt - pirha.fi","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 14","https://www.siunsote.fi/","localServices.ts","ok","200","ok","https://www.siunsote.fi/","siunsote.fi","siunsote.fi","ei","Meidän IT ja talous Oy","huomio","Etusivu - Siun sote","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 14","https://www.siunsote.fi/ajankohtaista/","localServices.ts","ok","200","ok","https://www.siunsote.fi/ajankohtaista/","siunsote.fi","siunsote.fi","ei","Meidän IT ja talous Oy","huomio","Ajankohtaista - Siun sote","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 16","https://www.hyvaep.fi/","localServices.ts","huomio","500","ok","https://www.hyvaep.fi/","hyvaep.fi","hyvaep.fi","ei","Etelä-Pohjanmaan hyvinvointialue","ei tarkistettu","","20","tarkista","verified","A","HTTP 500; HTTP 500; Manuaalinen tila: verified"
