"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Osumat"
"12.5.2026 klo 09.11","ii","ei löytynyt","0","","","https://www.ii.fi/","200",""
"12.5.2026 klo 09.11","iisalmi","korkea","150","Liikuntapalvelut hakee tuntiohjaajia kaudelle 2025-2026","https://iisalmi.fi/liikuntapalvelut-hakee-tuntiohjaajia-kaudelle-2025-2026/","https://www.iisalmi.fi/","200","liikuntaryhm; jumppa; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","iitti","korkea","290","Liikuntaryhmät","https://www.iitti.fi/vapaa-aika-ja-hyvinvointi/liikunta/liikuntaryhmat/","https://www.iitti.fi/","200","liikuntaryhm; tuolijumppa; vesijumppa; jumppa; liikuntaneuvonta; senior"
"12.5.2026 klo 09.11","ikaalinen","korkea","255","Liikuntaneuvonta","https://ikaalinen.fi/kulttuuri-ja-vapaa-aika/liikuntapalvelut/liikuntaneuvonta/","https://ikaalinen.fi/","200","ohjattu liikunta; liikuntaryhm; terveysliikunta; liikuntaneuvonta; liikuntapalvelut"
"12.5.2026 klo 09.11","ilmajoki","korkea","210","Liikuntaryhmät","https://ilmajoki.fi/harrasta-ja-viihdy/liikunta/liikuntaryhmat/","https://ilmajoki.fi/","200","liikuntaryhm; vesijumppa; jumppa; liikuntaneuvonta; senior"
"12.5.2026 klo 09.11","ilomantsi","ei löytynyt","0","","","https://www.ilomantsi.fi/","200",""
"12.5.2026 klo 09.11","imatra","korkea","500","Soveltava liikunta","https://www.imatra.fi/kulttuuri-ja-liikunta/liikunta/liikuntapalvelut/soveltava-liikunta","https://www.imatra.fi/","200","ohjattu liikunta; liikuntaryhm; ikäihmisten liikunta; vesijumppa; jumppa; soveltava liikunta; terveysliikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","inari","korkea","545","Ohjattu liikunta - INARI.FI","https://www.inari.fi/fi/palvelut/sivistyspalvelut/liikuntapalvelut-ja-nuorisotyo/liikuntapalvelut/ohjattu-liikunta.html","https://www.inari.fi/","200","ohjattu liikunta; ohjattua liikuntaa; ohjatut liikuntaryhm; liikuntaryhm; tuolijumppa; vesijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","inkoo","ei löytynyt","20","","","https://www.inga.fi/","200",""
"12.5.2026 klo 09.11","isojoki","korkea","120","Äitiysliikuntaryhmä jatkaa toimintaansa syksyllä 2023!","https://isojoki.fi/aitiysliikuntaryhma-jatkaa-toimintaansa-syksylla-2023/","https://isojoki.fi/","200","liikuntaryhm; jumppa; liikunta ja ulkoilu"
